tvals,u1_1,u1_2,u1_3,u1_4,u1_5,u1_6,u1_7,u1_8,u1_9,u1_10,u1_11,u1_12,u1_13,u1_14,u1_15,u1_16,u1_17,u1_18,u1_19,u1_20,u1_21,u1_22,u1_23,u1_24,u1_25,u1_26,u1_27,u1_28,u1_29,u1_30,u1_31,u1_32,u1_33,u1_34,u1_35,u1_36,u1_37,u1_38,u1_39,u1_40,u1_41,u1_42,u1_43,u1_44,u1_45,u1_46,u1_47,u1_48,u1_49,u1_50,u1_51,u1_52,u1_53,u1_54,u1_55,u1_56,u1_57,u1_58,u1_59,u1_60
-719.166666666667,-0.000387433313026264,-0.000385901870686212,-0.00038426266651026,-0.000382504057149902,-0.000380612683076542,-0.000378573145367156,-0.00037636760796822,-0.000373975305007157,-0.000371371926264352,-0.000368528845162253,-0.000365412141507093,-0.000361981354765284,-0.00035818788054609,-0.000353972891100618,-0.000349264615969958,-0.000343974756794374,-0.000337993724619956,-0.000331184272126528,-0.000323372944031064,-0.000314338596684394,-0.000303797096108838,-0.000291381366301025,-0.000276616721782474,-0.000258894204812954,-0.0002374528768323,-0.000211404240312518,-0.000179889204768635,-0.000142605535820017,-0.000101379945775193,-6.4166852626002e-05,6.4166852626002e-05,0.000101379945775193,0.000142605535820017,0.000179889204768635,0.000211404240312518,0.0002374528768323,0.000258894204812954,0.000276616721782474,0.000291381366301025,0.000303797096108838,0.000314338596684394,0.000323372944031952,0.000331184272126528,0.000337993724619068,0.000343974756793486,0.000349264615969069,0.000353972891100618,0.00035818788054609,0.000361981354764396,0.000365412141507093,0.000368528845161364,0.000371371926264352,0.000373975305007157,0.00037636760796822,0.000378573145367156,0.000380612683076542,0.000382504057149902,0.00038426266651026,0.000385901870686212,0.000387433313026264
-718.166666666667,-0.000426176644328535,-0.0004244920577543,-0.000422688933160664,-0.000420754462864714,-0.000418673951384285,-0.000416430459903694,-0.000414004368765042,-0.000411372835507073,-0.000408509118890343,-0.000405381729678744,-0.000401953355658513,-0.000398179490241901,-0.000394006668600788,-0.000389370180211124,-0.000384191077566598,-0.000378372232472834,-0.000371793097081685,-0.000364302699339625,-0.00035571023843417,-0.000345772456353366,-0.000334176805719011,-0.00032051950293166,-0.000304278393961077,-0.00028478362529416,-0.000261198164515086,-0.000232544664343415,-0.00019787812524541,-0.000156866089405128,-0.000111517940348804,-7.05835378882469e-05,7.05835378882469e-05,0.000111517940348804,0.000156866089405128,0.00019787812524541,0.000232544664343415,0.000261198164515086,0.00028478362529416,0.000304278393961077,0.00032051950293166,0.000334176805719011,0.000345772456353366,0.00035571023843417,0.000364302699339625,0.000371793097081685,0.000378372232472834,0.00038419107756571,0.000389370180211124,0.000394006668600788,0.000398179490241013,0.000401953355658513,0.000405381729677856,0.000408509118890343,0.000411372835507073,0.000414004368765042,0.000416430459903694,0.000418673951384285,0.000420754462864714,0.000422688933160664,0.0004244920577543,0.000426176644328535
-717.166666666667,-0.000464919975630806,-0.000463082244823276,-0.000461115199811957,-0.000459004868579527,-0.00045673521969114,-0.000454287774440232,-0.000451641129561864,-0.000448770366008766,-0.000445646311518111,-0.000442234614194348,-0.000438494569809045,-0.000434377625719407,-0.000429825456655486,-0.00042476746932163,-0.000419117539163238,-0.000412769708153071,-0.000405592469543414,-0.000397421126551833,-0.000388047532836389,-0.00037720631602145,-0.00036455651533096,-0.000349657639561407,-0.00033194006613968,-0.000310673045775367,-0.000284943452197872,-0.0002536850883752,-0.000215867045723961,-0.000171126642985797,-0.000121655934929521,-7.70002231504918e-05,7.70002231504918e-05,0.000121655934929521,0.000171126642985797,0.000215867045723961,0.0002536850883752,0.000284943452197872,0.000310673045775367,0.00033194006613968,0.000349657639561407,0.00036455651533096,0.00037720631602145,0.000388047532837277,0.000397421126551833,0.000405592469544303,0.000412769708152183,0.000419117539163238,0.00042476746932163,0.000429825456655486,0.000434377625718518,0.000438494569809045,0.00044223461419346,0.000445646311518111,0.000448770366008766,0.000451641129561864,0.000454287774440232,0.000456735219692028,0.000459004868579527,0.000461115199811957,0.000463082244823276,0.000464919975630806
-716.166666666667,-0.000503663306933966,-0.000501672431892253,-0.000499541466462361,-0.000497255274295227,-0.000494796487998883,-0.000492145088977658,-0.000489277890359574,-0.000486167896508682,-0.000482783504143214,-0.00047908749871084,-0.000475035783959576,-0.000470575761195136,-0.000465644244709296,-0.000460164758431247,-0.000454044000758991,-0.000447167183831532,-0.000439391842006032,-0.000430539553764042,-0.000420384827239495,-0.000408640175690422,-0.000394936224941134,-0.000378795776192042,-0.000359601738317394,-0.000336562466256574,-0.000308688739880658,-0.000274825512406984,-0.000233855966199847,-0.000185387196568243,-0.000131793929504909,-8.34169084171776e-05,8.34169084171776e-05,0.000131793929504909,0.000185387196568243,0.000233855966199847,0.000274825512406984,0.000308688739880658,0.000336562466256574,0.000359601738317394,0.000378795776192042,0.000394936224941134,0.000408640175690422,0.000420384827240383,0.00043053955376493,0.000439391842006032,0.000447167183830643,0.000454044000758991,0.000460164758431247,0.000465644244710184,0.000470575761194247,0.000475035783959576,0.000479087498709951,0.000482783504143214,0.000486167896508682,0.000489277890359574,0.000492145088977658,0.000494796487998883,0.000497255274295227,0.000499541466463249,0.000501672431892253,0.000503663306933966
-715.166666666667,-0.000542406638236237,-0.000540262618960341,-0.000537967733113653,-0.00053550568001004,-0.000532857756306626,-0.000530002403514196,-0.000526914651156396,-0.000523565427009487,-0.000519920696770093,-0.000515940383226443,-0.000511576998110996,-0.000506773896671753,-0.000501463032764882,-0.000495562047541753,-0.000488970462356519,-0.000481564659511768,-0.000473191214467761,-0.000463657980977139,-0.000452722121642601,-0.000440074035359395,-0.000425315934552195,-0.000407933912820901,-0.000387263410495109,-0.00036245188673778,-0.000332434027564332,-0.000295965936438769,-0.000251844886675734,-0.000199647750148024,-0.000141931924081184,-8.9833593676758e-05,8.9833593676758e-05,0.000141931924081184,0.000199647750148024,0.000251844886675734,0.000295965936438769,0.000332434027564332,0.00036245188673778,0.000387263410495109,0.000407933912820901,0.000425315934552195,0.000440074035359395,0.00045272212164349,0.000463657980978027,0.000473191214467761,0.00048156465951088,0.000488970462356519,0.000495562047541753,0.000501463032764882,0.000506773896670865,0.000511576998110996,0.000515940383225555,0.000519920696770093,0.000523565427009487,0.000526914651156396,0.000530002403514196,0.000532857756306626,0.00053550568001004,0.000537967733113653,0.000540262618960341,0.000542406638236237
-714.166666666667,-0.000581149969539396,-0.000578852806029317,-0.000576393999764946,-0.000573756085725741,-0.000570919024614369,-0.000567859718050734,-0.000564551411953218,-0.000560962957509403,-0.000557057889396972,-0.000552793267742935,-0.000548118212261528,-0.000542972032149258,-0.00053728182081958,-0.000530959336651371,-0.000523896923954048,-0.000515962135191117,-0.00050699058692949,-0.000496776408190236,-0.000485059416045708,-0.000471507895027479,-0.000455695644163256,-0.000437072049451537,-0.000414925082675488,-0.000388341307218987,-0.000356179315248006,-0.000317106360469666,-0.000269833807152509,-0.000213908303731358,-0.000152069918660125,-9.62502789407793e-05,9.62502789407793e-05,0.000152069918660125,0.000213908303731358,0.000269833807152509,0.000317106360469666,0.000356179315248006,0.000388341307218987,0.000414925082675488,0.000437072049451537,0.000455695644163256,0.000471507895027479,0.000485059416046596,0.000496776408190236,0.00050699058692949,0.000515962135190229,0.00052389692395316,0.000530959336651371,0.00053728182081958,0.000542972032147482,0.00054811821226064,0.000552793267742047,0.000557057889396972,0.000560962957509403,0.000564551411953218,0.000567859718050734,0.000570919024614369,0.000573756085724852,0.000576393999764946,0.000578852806029317,0.000581149969539396
-713.166666666667,-0.000619893300841667,-0.000617442993098294,-0.00061482026641535,-0.000612006491440553,-0.000608980292922112,-0.00060571703258816,-0.00060218817275004,-0.000598360488010208,-0.000594195082022075,-0.000589646152259427,-0.00058465942641206,-0.000579170167624987,-0.000573100608874277,-0.000566356625761877,-0.000558823385550689,-0.000550359610869577,-0.000540789959391219,-0.000529894835402445,-0.000517396710448814,-0.000502941754694675,-0.000486075353774318,-0.000466210186082172,-0.000442586754853203,-0.000414230727700193,-0.000379924602930792,-0.000338246784500562,-0.000287822727628395,-0.000228168857312028,-0.000162207913237289,-0.000102666964203912,0.000102666964203912,0.000162207913237289,0.000228168857312028,0.000287822727628395,0.000338246784500562,0.000379924602930792,0.000414230727700193,0.000442586754853203,0.000466210186082172,0.000486075353774318,0.000502941754694675,0.000517396710449702,0.000529894835402445,0.000540789959391219,0.000550359610868689,0.000558823385550689,0.000566356625761877,0.000573100608874277,0.000579170167624099,0.00058465942641206,0.000589646152258538,0.000594195082022075,0.000598360488010208,0.00060218817275004,0.00060571703258816,0.000608980292922112,0.000612006491439665,0.000614820266416238,0.000617442993098294,0.000619893300841667
-712.166666666667,-0.000658636632143939,-0.000656033180166382,-0.000653246533066643,-0.000650256897154478,-0.000647041561229855,-0.000643574347124698,-0.000639824933546862,-0.000635758018511012,-0.000631332274649843,-0.00062649903677503,-0.000621200640562591,-0.000615368303101604,-0.000608919396928975,-0.000601753914872383,-0.000593749847147329,-0.000584757086548926,-0.000574589331853836,-0.000563013262614653,-0.000549734004851921,-0.000534375614364535,-0.000516455063385379,-0.000495348322711919,-0.000470248427030029,-0.0004401201481814,-0.000403669890613578,-0.000359387208532347,-0.000305811648106946,-0.00024242941089625,-0.000172345907814453,-0.000109083649466157,0.000109083649466157,0.000172345907814453,0.00024242941089625,0.000305811648106946,0.000359387208532347,0.000403669890613578,0.0004401201481814,0.000470248427030029,0.000495348322711919,0.000516455063385379,0.000534375614364535,0.000549734004851921,0.000563013262615542,0.000574589331852948,0.000584757086548038,0.000593749847147329,0.000601753914872383,0.000608919396928975,0.000615368303100716,0.000621200640562591,0.000626499036774142,0.000631332274649843,0.000635758018511012,0.000639824933546862,0.000643574347124698,0.000647041561229855,0.000650256897154478,0.000653246533066643,0.000656033180166382,0.000658636632143939
-711.166666666667,-0.000697379963447098,-0.000694623367235359,-0.000691672799717935,-0.000688507302870178,-0.000685102829537598,-0.000681431661660348,-0.000677461694343684,-0.000673155549011817,-0.000668469467275834,-0.000663351921291522,-0.000657741854713123,-0.000651566438578222,-0.000644738184983673,-0.000637151203982889,-0.000628676308744858,-0.000619154562229163,-0.000608388704315566,-0.00059613168982775,-0.000582071299255027,-0.000565809474032619,-0.000546834772995552,-0.000524486459342555,-0.00049791009920952,-0.000466009568662606,-0.000427415178298141,-0.000380527632563243,-0.000323800568582833,-0.000256689964478696,-0.000182483902389841,-0.000115500334723961,0.000115500334723961,0.000182483902389841,0.000256689964478696,0.000323800568582833,0.000380527632563243,0.000427415178298141,0.000466009568662606,0.00049791009920952,0.000524486459342555,0.000546834772995552,0.000565809474032619,0.000582071299255915,0.000596131689828638,0.000608388704315566,0.000619154562228275,0.00062867630874397,0.000637151203982889,0.000644738184982785,0.000651566438577333,0.000657741854713123,0.000663351921290634,0.000668469467275834,0.000673155549011817,0.000677461694343684,0.000681431661660348,0.000685102829537598,0.000688507302870178,0.000691672799717935,0.000694623367235359,0.000697379963447098
-710.166666666667,-0.000736123294749369,-0.000733213554303447,-0.000730099066368339,-0.000726757708584991,-0.000723164097844453,-0.000719288976197774,-0.000715098455140506,-0.000710553079512621,-0.000705606659902713,-0.000700204805806237,-0.000694283068864543,-0.000687764574054839,-0.000680556973038371,-0.000672548493091618,-0.000663602770342386,-0.000653552037907623,-0.000642188076778183,-0.000629250117040847,-0.000614408593658133,-0.00059724333370248,-0.000577214482605726,-0.000553624595971414,-0.000525571771389011,-0.000491898989143813,-0.000451160465980927,-0.000401668056597693,-0.000341789489058719,-0.000270950518059365,-0.000192621896969669,-0.000121917019986206,0.000121917019986206,0.000192621896969669,0.000270950518059365,0.000341789489058719,0.000401668056597693,0.000451160465980927,0.000491898989143813,0.000525571771389011,0.000553624595971414,0.000577214482605726,0.00059724333370248,0.000614408593659022,0.000629250117040847,0.000642188076778183,0.000653552037906735,0.000663602770342386,0.000672548493091618,0.000680556973037483,0.000687764574053951,0.000694283068864543,0.000700204805806237,0.000705606659902713,0.000710553079512621,0.000715098455140506,0.000719288976197774,0.000723164097844453,0.000726757708584991,0.000730099066368339,0.000733213554303447,0.000736123294749369
