lon	lat	e_mm_day	n_mm_day	u_mm_day	hor_mm_day
  -1.0729372e+02   3.7983304e+01  -2.2585573e-01  -4.0629086e-03   1.8375951e-01   2.2589227e-01
  -1.0729373e+02   3.7983755e+01   4.5376873e-02  -2.0994528e-01  -5.9858653e-01   2.1479312e-01
  -1.0729374e+02   3.7984205e+01   2.8393363e-02  -1.3643068e-01  -5.0690272e-01   1.3935391e-01
  -1.0729376e+02   3.7984656e+01   9.9204712e-03  -1.8878192e-01  -4.5354821e-01   1.8904240e-01
  -1.0729377e+02   3.7985106e+01   1.7967819e-01  -2.0908532e-01  -7.1580731e-01   2.7568265e-01
  -1.0729379e+02   3.7985557e+01   1.9700025e-01  -2.2081276e-01  -6.4469289e-01   2.9591785e-01
  -1.0729380e+02   3.7986007e+01  -6.2085699e-01  -1.2102232e-01  -1.8444493e+00   6.3254234e-01
  -1.0729381e+02   3.7986458e+01   2.3054518e-01  -1.1531787e-01  -8.6779059e-01   2.5777761e-01
  -1.0729383e+02   3.7986908e+01   2.2022002e-01  -2.0162097e-01  -4.1481672e-01   2.9857641e-01
  -1.0729384e+02   3.7987359e+01   2.3175877e-01  -1.3903132e-01  -6.6024463e-01   2.7026253e-01
  -1.0729386e+02   3.7987810e+01   2.3083021e-01  -1.8652891e-01  -6.2929105e-01   2.9677537e-01
  -1.0729387e+02   3.7988260e+01   2.7505629e-01  -2.3434510e-01  -6.6537320e-01   3.6134968e-01
  -1.0729401e+02   3.7992765e+01   2.2834703e-01  -2.2665878e-01  -6.5927616e-01   3.2173991e-01
  -1.0729404e+02   3.7993667e+01   2.1221978e-01  -2.0533479e-01  -6.7382258e-01   2.9529580e-01
  -1.0729309e+02   3.7981513e+01  -1.8898196e-01  -3.1317420e-02  -3.2825225e-02   1.9155929e-01
  -1.0729310e+02   3.7981964e+01  -2.0173621e-01   2.8599391e-02  -3.0815401e-02   2.0375334e-01
  -1.0729312e+02   3.7982414e+01  -1.5036790e-01   3.3039834e-02  -1.0273784e-01   1.5395498e-01
  -1.0729313e+02   3.7982865e+01  -2.8142711e-01  -1.9355809e-02   4.2598420e-01   2.8209195e-01
  -1.0729314e+02   3.7983315e+01  -2.0341072e-01   1.9135333e-01  -1.6692471e-01   2.7927051e-01
  -1.0729316e+02   3.7983766e+01   1.3555260e-02  -9.2199211e-02  -7.3484195e-01   9.3190340e-02
  -1.0729317e+02   3.7984216e+01   2.1621291e-02  -9.7370680e-02  -5.0965041e-01   9.9742316e-02
  -1.0729319e+02   3.7984667e+01   3.5141125e-02  -1.3924645e-01  -4.6689394e-01   1.4361223e-01
  -1.0729320e+02   3.7985118e+01   2.4372866e-02  -1.4322205e-01  -4.3566329e-01   1.4528108e-01
  -1.0729321e+02   3.7985568e+01   4.7830038e-02  -1.5938834e-01  -4.8605021e-01   1.6641020e-01
  -1.0729323e+02   3.7986019e+01   2.7463485e-01  -2.1159524e-01  -7.2592041e-01   3.4669417e-01
  -1.0729324e+02   3.7986469e+01   2.9249283e-01  -1.5421039e-01  -6.2814130e-01   3.3065526e-01
  -1.0729326e+02   3.7986920e+01   3.8692127e-01  -2.9886536e-01  -4.3535858e-01   4.8890548e-01
  -1.0729327e+02   3.7987370e+01   2.3514867e-01  -1.9436509e-01  -5.7479146e-01   3.0507816e-01
  -1.0729249e+02   3.7980623e+01  -1.8718222e-01   3.3956850e-03  -4.2612053e-02   1.8721302e-01
  -1.0729250e+02   3.7981074e+01  -3.4562458e-01  -8.1672018e-03   4.0149952e-01   3.4572106e-01
  -1.0729252e+02   3.7981524e+01  -1.7259626e-01   8.7668629e-05  -1.4355279e-01   1.7259628e-01
  -1.0729253e+02   3.7981975e+01  -1.7309753e-01  -1.5653981e-02   1.6490412e-01   1.7380392e-01
  -1.0729255e+02   3.7982425e+01  -4.4564362e-02   5.9771255e-02   3.1503851e-03   7.4555920e-02
  -1.0729257e+02   3.7983327e+01  -3.3288259e+00   1.3190986e+00   9.1596045e-01   3.5806567e+00
  -1.0729259e+02   3.7983777e+01  -1.8409836e-01  -1.6332059e-01  -9.7297797e-01   2.4610124e-01
  -1.0729260e+02   3.7984228e+01   1.2482086e-01  -3.3614109e-02  -6.8870871e-01   1.2926776e-01
  -1.0729262e+02   3.7984678e+01   9.6091915e-02  -4.7356726e-02  -5.7683185e-01   1.0712757e-01
  -1.0729263e+02   3.7985129e+01   2.7128007e-02  -1.5574877e-01  -4.4441821e-01   1.5809367e-01
  -1.0729264e+02   3.7985579e+01   5.4824801e-02  -1.6300544e-01  -3.9333216e-01   1.7197829e-01
  -1.0729269e+02   3.7986931e+01   2.9753593e-01  -2.1764600e-01  -4.9732931e-01   3.6864266e-01
  -1.0729190e+02   3.7980184e+01  -1.2855299e-01   1.3433073e+00  -2.2650101e-04   1.3494445e+00
  -1.0729192e+02   3.7980634e+01  -1.5527907e-01   2.0460468e-02   3.8680723e-02   1.5662127e-01
  -1.0729193e+02   3.7981085e+01  -9.6860824e-02  -3.0909926e-02  -2.8474664e-01   1.0167322e-01
  -1.0729195e+02   3.7981536e+01  -1.4998640e-01   1.3942942e-02  -8.6653285e-02   1.5063308e-01
  -1.0729196e+02   3.7981986e+01  -1.4768727e-01  -2.4284736e-02  -1.8689723e-01   1.4967057e-01
  -1.0729200e+02   3.7983338e+01   7.0488564e-02  -1.5995171e-01  -5.0421744e-01   1.7479470e-01
  -1.0729202e+02   3.7983788e+01   8.5353887e-02  -9.8816415e-02  -2.4502042e-01   1.3057553e-01
  -1.0729203e+02   3.7984239e+01   5.1703633e-02  -1.9998619e-02  -6.0336126e-01   5.5436544e-02
  -1.0729204e+02   3.7984689e+01  -2.1784753e-01   4.0048421e-02   4.1356831e-01   2.2149813e-01
  -1.0729206e+02   3.7985140e+01  -2.1808537e-01   3.5329348e-02   2.6769555e-01   2.2092848e-01
  -1.0729207e+02   3.7985590e+01  -1.9108541e-01   8.9140197e-02   3.0633105e-01   2.1085447e-01
  -1.0729209e+02   3.7986041e+01   7.0433157e-01  -4.9279725e-01   8.4384923e-01   8.5961159e-01
  -1.0729210e+02   3.7986491e+01   5.0458167e-02  -1.6202622e-01  -3.6259085e-01   1.6970127e-01
  -1.0729211e+02   3.7986942e+01   1.8731754e-01  -1.7547086e-01  -6.7617499e-01   2.5666687e-01
  -1.0729133e+02   3.7980195e+01  -2.5470334e-01   2.0301729e-01   4.3803129e-01   3.2571431e-01
  -1.0729135e+02   3.7980646e+01  -1.5186640e-01  -2.1049196e-02  -8.6050410e-02   1.5331820e-01
  -1.0729136e+02   3.7981096e+01  -1.5701276e-01   3.1591025e-02   7.7894625e-03   1.6015929e-01
  -1.0729137e+02   3.7981547e+01  -9.2530426e-02  -6.9549357e-02  -7.7046932e-01   1.1575402e-01
  -1.0729139e+02   3.7981997e+01  -4.7548990e+00  -5.8392363e-01  -1.9066955e-02   4.7906191e+00
  -1.0729142e+02   3.7982898e+01   8.9179573e-02  -2.0171318e-02  -6.9941480e-01   9.1432370e-02
  -1.0729143e+02   3.7983349e+01   9.8527786e-02  -7.3356744e-02  -7.9740132e-01   1.2283703e-01
  -1.0729144e+02   3.7983799e+01   9.1736943e-02  -6.0564410e-02  -6.9694078e-01   1.0992595e-01
  -1.0729146e+02   3.7984250e+01   3.7418892e-02  -1.0758284e-01  -4.0619278e-01   1.1390452e-01
  -1.0729147e+02   3.7984700e+01  -2.0062301e-01   1.1077909e-01   4.3096969e-01   2.2917591e-01
  -1.0729149e+02   3.7985151e+01  -2.0512925e-01   4.1825743e-02   3.2291027e-01   2.0934995e-01
  -1.0729150e+02   3.7985601e+01  -1.8307206e-01   6.8993177e-02   3.4808607e-01   1.9564110e-01
  -1.0729151e+02   3.7986052e+01   4.6114663e-02  -6.8201998e-02  -7.2688874e-01   8.2329064e-02
  -1.0729153e+02   3.7986503e+01   4.9416321e-02  -1.1982128e-01  -5.4732127e-01   1.2961138e-01
  -1.0729154e+02   3.7986953e+01   1.6432861e-02  -1.5440252e-01  -5.9099360e-01   1.5527452e-01
  -1.0729077e+02   3.7980657e+01  -2.2925041e-01   3.3446032e-01  -7.8991668e-01   4.0548669e-01
  -1.0729083e+02   3.7982459e+01   8.2148220e-02   8.5314841e-03  -6.9707253e-01   8.2590050e-02
  -1.0729084e+02   3.7982909e+01   3.2765309e-02  -1.6847654e-01  -5.7869281e-01   1.7163307e-01
  -1.0729086e+02   3.7983360e+01   8.0578285e-02  -1.4679358e-01  -5.9078634e-01   1.6745512e-01
  -1.0729087e+02   3.7983810e+01   1.0549740e-01  -6.2370882e-02  -7.7679175e-01   1.2255541e-01
  -1.0729089e+02   3.7984261e+01  -2.3532385e-01   3.9029104e-02   2.3272977e-01   2.3853843e-01
  -1.0729090e+02   3.7984712e+01  -9.8227648e-02   5.0076700e-02  -4.4481749e-02   1.1025582e-01
  -1.0729091e+02   3.7985162e+01  -9.9679766e-02   5.3762699e-02   4.8421014e-02   1.1325407e-01
  -1.0729093e+02   3.7985613e+01  -1.7608847e-01   4.5831336e-02  -1.2083523e-01   1.8195511e-01
  -1.0729094e+02   3.7986063e+01  -9.9945479e-02   2.4705916e-01   1.8882861e-01   2.6650953e-01
  -1.0729096e+02   3.7986514e+01   7.3015925e-02  -8.0789470e-02  -7.5019459e-01   1.0889566e-01
