ox,ue,uz
32802.8028028028,-2.16111837234754,1.27668881048925
32872.8728728729,-2.16034990675002,1.27404984510585
32942.9429429429,-2.15957174739325,1.27140213819257
33013.013013013,-2.15878395687305,1.2687457110086
33083.0830830831,-2.15798659756065,1.26608058482811
33153.1531531532,-2.15717973160478,1.26340678094131
33223.2232232232,-2.15636342093439,1.26072432065512
33293.2932932933,-2.15553772726027,1.25803322529411
33363.3633633634,-2.15470271207737,1.25533351620178
33433.4334334334,-2.15385843666743,1.25262521474071
33503.5035035035,-2.15300496210036,1.24990834229408
33573.5735735736,-2.15214234923694,1.24718292026612
33643.6436436436,-2.15127065873118,1.24444897008295
33713.7137137137,-2.15038995103109,1.24170651319389
33783.7837837838,-2.14950028638251,1.23895557107163
33853.8538538539,-2.14860172482976,1.23619616521348
33923.9239239239,-2.1476943262181,1.23342831714227
33993.993993994,-2.14677815019596,1.23065204840685
34064.0640640641,-2.14585325621656,1.22786738058312
34134.1341341341,-2.14491970354012,1.22507433527469
34204.2042042042,-2.14397755123544,1.22227293411395
34274.2742742743,-2.14302685818223,1.21946319876261
34344.3443443443,-2.14206768307254,1.21664515091263
34414.4144144144,-2.14110008441316,1.21381881228685
34484.4844844845,-2.14012412052701,1.21098420464002
34554.5545545546,-2.13913984955512,1.20814134975934
34624.6246246246,-2.13814732945816,1.2052902694656
34694.6946946947,-2.1371466180191,1.20243098561329
34764.7647647648,-2.13613777284391,1.19956352009211
34834.8348348348,-2.13512085136365,1.19668789482734
34904.9049049049,-2.13409591083688,1.19380413178048
34974.974974975,-2.13306300835024,1.19091225295037
35045.045045045,-2.13202220082082,1.18801228037369
35115.1151151151,-2.13097354499806,1.18510423612573
35185.1851851852,-2.12991709746457,1.18218814232112
35255.2552552553,-2.12885291463859,1.17926402111466
35325.3253253253,-2.12778105277508,1.17633189470208
35395.3953953954,-2.12670156796772,1.17339178532047
35465.4654654655,-2.12561451615006,1.17044371524947
35535.5355355355,-2.12451995309732,1.16748770681151
35605.6056056056,-2.12341793442802,1.16452378237299
35675.6756756757,-2.12230851560568,1.16155196434446
35745.7457457457,-2.12119175193963,1.15857227518188
35815.8158158158,-2.12006769858715,1.15558473738695
35885.8858858859,-2.11893641055479,1.152589373508
35955.955955956,-2.11779794269999,1.14958620614045
36026.026026026,-2.11665234973212,1.14657525792793
36096.0960960961,-2.11549968621421,1.14355655156251
36166.1661661662,-2.11434000656438,1.14053010978565
36236.2362362362,-2.11317336505717,1.1374959553889
36306.3063063063,-2.11199981582519,1.1344541112143
36376.3763763764,-2.11081941285975,1.13140460015551
36446.4464464464,-2.10963221001314,1.12834744515813
36516.5165165165,-2.10843826099965,1.12528266922039
36586.5865865866,-2.10723761939656,1.12221029539404
36656.6566566567,-2.10603033864577,1.11913034678484
36726.7267267267,-2.10481647205517,1.1160428465533
36796.7967967968,-2.10359607279981,1.11294781791521
36866.8668668669,-2.102369193923,1.10984528414256
36936.9369369369,-2.10113588833832,1.10673526856384
37007.007007007,-2.09989620882947,1.10361779456504
37077.0770770771,-2.09865020805317,1.10049288559003
37147.1471471471,-2.09739793853915,1.09736056514139
37217.2172172172,-2.09613945269168,1.094220856781
37287.2872872873,-2.09487480279126,1.09107378413061
37357.3573573574,-2.09360404099497,1.08791937087256
37427.4274274274,-2.09232721933844,1.08475764075047
37497.4974974975,-2.09104438973633,1.08158861756967
37567.5675675676,-2.08975560398413,1.07841232519808
37637.6376376376,-2.08846091375858,1.07522878756667
37707.7077077077,-2.0871603706195,1.07203802867018
37777.7777777778,-2.0858540260104,1.06884007256773
37847.8478478479,-2.0845419312599,1.06563494338346
37917.9179179179,-2.08322413758207,1.06242266530684
37987.987987988,-2.08190069607894,1.05920326259413
38058.0580580581,-2.08057165774018,1.05597675956796
38128.1281281281,-2.07923707344486,1.05274318061875
38198.1981981982,-2.07789699396204,1.04950255020483
38268.2682682683,-2.07655146995249,1.04625489285333
38338.3383383383,-2.07520055196895,1.04300023316072
38408.4084084084,-2.07384429045739,1.03973859579333
38478.4784784785,-2.07248273575847,1.03647000548819
38548.5485485485,-2.07111593810761,1.0331944870534
38618.6186186186,-2.06974394763678,1.02991206536882
38688.6886886887,-2.06836681437518,1.02662276538673
38758.7587587588,-2.06698458824987,1.02332661213242
38828.8288288288,-2.06559731908731,1.02002363070476
38898.8988988989,-2.06420505661381,1.01671384627681
