x2long,u1_surf
-9579.15831663327,-0.580037049967338
-9498.99799599198,-0.583749728099914
-9418.8376753507,-0.58750225858367
-9338.67735470942,-0.591295093669246
-9258.51703406814,-0.595128685047145
-9178.35671342685,-0.599003483333314
-9098.19639278557,-0.602919937513321
-9018.03607214429,-0.606878494342257
-8937.87575150301,-0.610879597697313
-8857.71543086172,-0.614923687879768
-8777.55511022044,-0.619011200862886
-8697.39478957916,-0.623142567481992
-8617.23446893788,-0.627318212562737
-8537.07414829659,-0.631538553983256
-8456.91382765531,-0.635804001665673
-8376.75350701403,-0.640114956492034
-8296.59318637275,-0.644471809139441
-8216.43286573146,-0.648874938828761
-8136.27254509018,-0.6533247119809
-8056.1122244489,-0.657821480774201
-7975.95190380762,-0.662365581596047
-7895.79158316633,-0.666957333381265
-7815.63126252505,-0.671597035829373
-7735.47094188377,-0.67628496749215
-7655.31062124248,-0.681021383722355
-7575.1503006012,-0.685806514473756
-7494.98997995992,-0.690640561941905
-7414.82965931864,-0.695523698034266
-7334.66933867735,-0.700456061657481
-7254.50901803607,-0.705437755808606
-7174.34869739479,-0.710468844456115
-7094.18837675351,-0.715549349195429
-7014.02805611222,-0.720679245662454
-6933.86773547094,-0.725858459687377
-6853.70741482966,-0.731086863169518
-6773.54709418838,-0.736364269652487
-6693.38677354709,-0.741690429577232
-6613.22645290581,-0.747065025188703
-6533.06613226453,-0.752487665069847
-6452.90581162325,-0.757957878274438
-6372.74549098196,-0.763475108027825
-6292.58517034068,-0.769038704962034
-6212.4248496994,-0.774647919848723
-6132.26452905812,-0.780301895790276
-6052.10420841683,-0.785999659825775
-5971.94388777555,-0.791740113904698
-5891.78356713427,-0.797522025176817
-5811.62324649299,-0.803344015542031
-5731.4629258517,-0.80920455039853
-5651.30260521042,-0.815101926521813
-5571.14228456914,-0.821034259000509
-5490.98196392786,-0.826999467147688
-5410.82164328657,-0.832995259298179
-5330.66132264529,-0.839019116393373
-5250.50100200401,-0.845068274244792
-5170.34068136273,-0.851139704356344
-5090.18036072144,-0.857230093172438
-5010.02004008016,-0.863335819604752
-4929.85971943888,-0.869452930674368
-4849.69939879759,-0.875577115087743
-4769.53907815631,-0.881703674544542
-4689.37875751503,-0.887827492552101
-4609.21843687375,-0.893943000495117
-4529.05811623247,-0.900044140679358
-4448.89779559118,-0.906124326034508
-4368.7374749499,-0.912176396122848
-4288.57715430862,-0.918192569056894
-4208.41683366733,-0.924164388879378
-4128.25651302605,-0.930082667902263
-4048.09619238477,-0.935937423436786
-3967.93587174349,-0.941717808272507
-3887.7755511022,-0.947412034178735
-3807.61523046092,-0.953007287604801
-3727.45490981964,-0.958489636644658
-3647.29458917836,-0.963843928204055
-3567.13426853707,-0.96905367416267
-3486.97394789579,-0.974100925156353
-3406.81362725451,-0.978966130412904
-3326.65330661323,-0.983627981855223
-3246.49298597195,-0.988063240434342
-3166.33266533066,-0.992246542367708
-3086.17234468938,-0.996150182630835
-3006.0120240481,-0.999743872678589
-2925.85170340681,-1.00299446895181
-2845.69138276553,-1.00586566825216
-2765.53106212425,-1.00831766554072
-2685.37074148297,-1.01030676913476
-2605.21042084168,-1.01178496764571
-2525.0501002004,-1.01269944233196
-2444.88977955912,-1.01299201785285
-2364.72945891783,-1.01259854374238
-2284.56913827655,-1.0114481983331
-2204.40881763527,-1.00946270644657
-2124.24849699399,-1.00655546207329
-2044.08817635271,-1.00263054771096
-1963.92785571142,-0.997581643342268
-1883.76753507014,-0.99129082069048
-1803.60721442886,-0.983627223085674
-1723.44689378758,-0.974445638998082
-1643.28657314629,-0.963584989445205
-1563.12625250501,-0.950866767994102
-1482.96593186373,-0.936093499588167
-1402.80561122244,-0.919047324388442
-1322.64529058116,-0.899488869592467
-1242.48496993988,-0.877156650904586
-1162.3246492986,-0.851767351296714
-1082.16432865732,-0.823017461991827
-1002.00400801603,-0.790586939116974
-921.843687374749,-0.754145719593987
-841.683366733469,-0.713364123813587
-761.523046092185,-0.667928292391179
-681.362725450901,-0.61756175764533
-601.202404809621,-0.56205388280272
-521.042084168337,-0.5012950192442
-440.881763527053,-0.435316660037772
-360.721442885773,-0.364332582761828
-280.56112224449,-0.288774299763267
-200.400801603206,-0.209311916031995
-120.240480961926,-0.126851058522535
-40.0801603206419,-0.0424991976415781
40.0801603206419,0.0424991976415781
120.240480961926,0.126851058522535
200.400801603206,0.209311916031995
280.56112224449,0.288774299763267
360.721442885773,0.364332582761828
440.881763527053,0.435316660037772
521.042084168337,0.5012950192442
601.202404809621,0.56205388280272
681.362725450901,0.61756175764533
761.523046092185,0.667928292391179
841.683366733469,0.713364123813587
921.843687374749,0.754145719593987
1002.00400801603,0.790586939116974
1082.16432865732,0.823017461991827
1162.3246492986,0.851767351296714
1242.48496993988,0.877156650904586
1322.64529058116,0.899488869592467
1402.80561122244,0.919047324388442
1482.96593186373,0.936093499588167
1563.12625250501,0.950866767994102
1643.28657314629,0.963584989445205
1723.44689378758,0.974445638998082
1803.60721442886,0.983627223085674
1883.76753507014,0.99129082069048
1963.92785571142,0.997581643342268
2044.08817635271,1.00263054771096
2124.24849699399,1.00655546207329
2204.40881763527,1.00946270644657
2284.56913827655,1.0114481983331
2364.72945891783,1.01259854374238
2444.88977955912,1.01299201785285
2525.0501002004,1.01269944233196
2605.21042084168,1.01178496764571
2685.37074148297,1.01030676913476
2765.53106212425,1.00831766554072
2845.69138276553,1.00586566825216
2925.85170340681,1.00299446895181
3006.0120240481,0.999743872678589
3086.17234468938,0.996150182630835
3166.33266533066,0.992246542367708
3246.49298597195,0.988063240434342
3326.65330661323,0.983627981855223
3406.81362725451,0.978966130412904
3486.97394789579,0.974100925156353
3567.13426853707,0.96905367416267
3647.29458917836,0.963843928204055
3727.45490981964,0.958489636644658
3807.61523046092,0.953007287604801
3887.7755511022,0.947412034178735
3967.93587174349,0.941717808272507
4048.09619238477,0.935937423436786
4128.25651302605,0.930082667902263
4208.41683366734,0.924164388879378
4288.57715430862,0.918192569056894
4368.7374749499,0.912176396122848
4448.89779559118,0.906124326034508
4529.05811623246,0.900044140679359
4609.21843687375,0.893943000495117
4689.37875751503,0.887827492552101
4769.53907815631,0.881703674544542
4849.69939879759,0.875577115087743
4929.85971943888,0.869452930674368
5010.02004008016,0.863335819604752
5090.18036072144,0.857230093172438
5170.34068136273,0.851139704356344
5250.50100200401,0.845068274244792
5330.66132264529,0.839019116393373
5410.82164328657,0.832995259298179
5490.98196392785,0.826999467147688
5571.14228456914,0.821034259000509
5651.30260521042,0.815101926521813
5731.46292585171,0.80920455039853
5811.62324649299,0.803344015542031
5891.78356713427,0.797522025176817
5971.94388777555,0.791740113904698
6052.10420841683,0.785999659825775
6132.26452905812,0.780301895790276
6212.4248496994,0.774647919848723
6292.58517034068,0.769038704962034
6372.74549098196,0.763475108027825
6452.90581162325,0.757957878274438
6533.06613226453,0.752487665069847
6613.22645290581,0.747065025188703
6693.3867735471,0.741690429577232
6773.54709418838,0.736364269652487
6853.70741482966,0.731086863169518
6933.86773547094,0.725858459687377
7014.02805611222,0.720679245662454
7094.18837675351,0.715549349195429
7174.34869739479,0.710468844456115
7254.50901803607,0.705437755808606
7334.66933867735,0.700456061657481
7414.82965931864,0.695523698034266
7494.98997995992,0.690640561941905
7575.1503006012,0.685806514473756
7655.31062124249,0.681021383722354
7735.47094188377,0.67628496749215
7815.63126252505,0.671597035829373
7895.79158316633,0.666957333381265
7975.95190380761,0.662365581596047
8056.1122244489,0.657821480774201
8136.27254509018,0.6533247119809
8216.43286573146,0.648874938828761
8296.59318637275,0.644471809139441
8376.75350701403,0.640114956492034
8456.91382765531,0.635804001665673
8537.07414829659,0.631538553983256
8617.23446893788,0.627318212562737
8697.39478957916,0.623142567481993
8777.55511022044,0.619011200862886
8857.71543086172,0.614923687879768
8937.875751503,0.610879597697314
9018.03607214429,0.606878494342257
9098.19639278557,0.602919937513321
9178.35671342685,0.599003483333314
9258.51703406814,0.595128685047145
9338.67735470942,0.591295093669246
9418.8376753507,0.58750225858367
9498.99799599198,0.583749728099914
9579.15831663327,0.580037049967338
9659.31863727455,0.57636377185086
9739.47895791583,0.572729441770411
9819.63927855712,0.56913360850652
9899.7995991984,0.565575821974216
9979.95991983968,0.562055633567298
10060.120240481,0.558572596474905
10140.2805611222,0.555126265972198
10220.4408817635,0.55171619968682
10300.6012024048,0.548341957842753
10380.7615230461,0.545003103483013
10460.9218436874,0.541699202672615
10541.0821643287,0.538429824683081
10621.2424849699,0.535194542159719
10701.4028056112,0.53199293127283
10781.5631262525,0.528824571853893
10861.7234468938,0.525689047517755
10941.8837675351,0.522585945771745
11022.0440881764,0.519514858112623
11102.2044088176,0.51647538011216
11182.3647294589,0.513467111492152
11262.5250501002,0.510489656189574
11342.6853707415,0.507542622412575
11422.8456913828,0.504625622687934
11503.006012024,0.501738273900587
11583.1663326653,0.498880197325783
11663.3266533066,0.496051018654395
11743.4869739479,0.493250368011884
11823.6472945892,0.490477879971358
11903.8076152305,0.487733193561193
11983.9679358717,0.485015952267583
12064.128256513,0.482325804032432
12144.2885771543,0.479662401246916
12224.4488977956,0.477025400741073
12304.6092184369,0.474414463769712
12384.7695390782,0.471829255994949
12464.9298597194,0.469269447465629
12545.0901803607,0.466734712593903
12625.250501002,0.464224730129196
12705.4108216433,0.461739183129781
12785.5711422846,0.459277758932179
12865.7314629259,0.456840149118583
12945.8917835671,0.454426049482472
13026.0521042084,0.452035159992613
13106.2124248497,0.44966718475558
13186.372745491,0.447321831976973
13266.5330661323,0.444998813921443
13346.6933867735,0.442697846871681
13426.8537074148,0.440418651086476
13507.0140280561,0.43816095075796
