xyz_c_1	xyz_c_2	xyz_c_3	L	W	strike	dip	slip_strike	slip_dip	traction_strike	traction_dip
9230.37407952399	2198.70403419264	-309.016994374947	2000	2000	9	18	0	0	1.52213458721881	6.42543235640553
9543.24300960445	4174.08071538292	-309.016994374947	2000	2000	9	18	0	0	1.66351251825459	6.36808539599499
9856.11193968491	6149.4573965732	-309.016994374947	2000	2000	9	18	0	0	1.73956403635093	6.13428601511781
10168.9808697654	8124.83407776347	-309.016994374947	2000	2000	9	18	0	0	1.80614918944635	5.59479846134064
10481.8497998458	10100.2107589537	-309.016994374947	2000	2000	9	18	0	0	1.87364862462073	3.92228596998809
10794.7187299263	12075.587440144	-309.016994374947	2000	2000	9	18	0	0	0.475667109262619	3.18659370609138
11107.5876600068	14050.9641213343	-309.016994374947	2000	2000	9	18	0	0	0.994356196367113	4.50402657944148
11420.4565900872	16026.3408025246	-309.016994374947	2000	2000	9	18	0	0	1.27649841803549	4.75148179071451
11733.3255201677	18001.7174837148	-309.016994374947	2000	2000	9	18	0	0	1.36241927458797	4.61389567665731
12046.1944502481	19977.0941649051	-309.016994374947	2000	2000	9	18	0	0	1.50287244366238	3.91056868913536
12359.0633803286	21952.4708460954	-309.016994374947	2000	2000	9	18	0	0	0.974994008210378	2.02015237286759
12671.9323104091	23927.8475272857	-309.016994374947	2000	2000	9	18	0	0	0.343885519784041	1.66398575245675
12984.8012404895	25903.2242084759	-309.016994374947	2000	2000	9	18	0	0	0.389604963639418	2.86383918898617
13297.67017057	27878.6008896662	-309.016994374947	2000	2000	9	18	0	0	0.830158462011147	3.31933973933484
13610.5391006505	29853.9775708565	-309.016994374947	2000	2000	9	18	0	0	0.872022982299474	3.42365739619736
13923.4080307309	31829.3542520468	-309.016994374947	2000	2000	9	18	0	0	0.86416944746105	3.52376616933124
14236.2769608114	33804.730933237	-309.016994374947	2000	2000	9	18	0	0	0.949137648096531	3.48580086899138
14549.1458908918	35780.1076144273	-309.016994374947	2000	2000	9	18	0	0	1.0919518441802	3.06586304502628
14862.0148209723	37755.4842956176	-309.016994374947	2000	2000	9	18	0	0	1.10832982577198	2.01857625946727
15174.8837510528	39730.8609768079	-309.016994374947	2000	2000	9	18	0	0	0.316079788200085	1.167649657724
15487.7526811332	41706.2376579982	-309.016994374947	2000	2000	9	18	0	0	0.318476956385506	1.85753094145941
15800.6216112137	43681.6143391884	-309.016994374947	2000	2000	9	18	0	0	0.555333081976887	2.26555377992158
16113.4905412941	45656.9910203787	-309.016994374947	2000	2000	9	18	0	0	0.732651859441384	2.25377141701366
16426.3594713746	47632.367701569	-309.016994374947	2000	2000	9	18	0	0	0.829979690147068	1.8114486809381
3082.01450241468	-49387.6375705284	-957.952682562337	2173.91304347826	2200	9	18	0.0554735748731609	0.19495481160918	-0.5	-1
3422.08942641519	-47240.4890040172	-957.952682562337	2173.91304347826	2200	9	18	0.0664376461526558	0.213245315532162	-0.5	-1
3762.16435041569	-45093.340437506	-957.952682562337	2173.91304347826	2200	9	18	0.078553895151163	0.283567118729289	-0.499999999999999	-1
4102.23927441619	-42946.1918709949	-957.952682562337	2173.91304347826	2200	9	18	0.0979992075190821	0.371296556662732	-0.5	-1
4442.31419841669	-40799.0433044837	-957.952682562337	2173.91304347826	2200	9	18	0.124801377758069	0.441883879488903	-0.5	-1
4782.38912241719	-38651.8947379725	-957.952682562337	2173.91304347826	2200	9	18	0.134106810622528	0.442834813802116	-0.499999999999999	-0.999999999999996
5122.4640464177	-36504.7461714613	-957.952682562337	2173.91304347826	2200	9	18	0	0	1.80848914993259	5.04203233010006
