#    lon              lat             slip-m
   9.8109411e+01   4.3718600e-01   1.2212072e+00
   9.8804488e+01   1.9310000e-03   3.7265275e-01
   9.7915294e+01  -6.3319600e-01   6.9757802e-01
   9.8946187e+01   8.0351600e-01   2.2193298e-01
   9.8752983e+01   1.4336460e+00   6.6510261e-01
   9.6096405e+01   1.5551670e+00   2.4845280e+00
   9.5866980e+01   1.7305470e+00   1.9452667e+00
   9.6142710e+01   1.7170480e+00   2.4255892e+00
   9.6177953e+01   1.3782820e+00   2.6803668e+00
   9.5727371e+01   1.7361270e+00   1.6039391e+00
   9.5843440e+01   2.2036330e+00   1.3150040e+00
   9.5960295e+01   1.5630600e+00   2.2348369e+00
   9.6049408e+01   1.8845530e+00   2.1835359e+00
   9.6325165e+01   1.8710000e+00   2.2301555e+00
   9.5989264e+01   2.2037120e+00   1.6501577e+00
   9.6461298e+01   1.8630530e+00   1.9652412e+00
   9.6305791e+01   1.3632660e+00   2.8301483e+00
   9.6794320e+01   1.5313600e+00   1.7733884e+00
   9.6360363e+01   1.5322320e+00   2.6411379e+00
   9.6587376e+01   8.7653800e-01   2.8373990e+00
   9.6425307e+01   1.0989340e+00   3.1001077e+00
   9.6429464e+01   1.2235850e+00   3.0400179e+00
   9.6488210e+01   1.5171940e+00   2.4987955e+00
   9.6912714e+01   8.0137900e-01   2.4305271e+00
   9.6611873e+01   1.3774950e+00   2.6809749e+00
   9.7038864e+01   5.6092500e-01   1.5174782e+00
   9.6730358e+01   6.4748400e-01   2.1054422e+00
   9.7669665e+01  -2.7216500e-01   7.5042854e-01
   9.7270919e+01   7.0477000e-02   5.7464938e-01
   9.7059138e+01   6.9381000e-01   1.8571388e+00
   9.7403615e+01   8.6858500e-01   1.1279548e+00
   9.7293225e+01   1.2375520e+00   1.4563745e+00
   9.6972593e+01   1.5605470e+00   1.2534834e+00
   9.6853167e+01   1.8249110e+00   8.1448555e-01
   9.6769751e+01   1.0304390e+00   3.0692982e+00
   9.7277517e+01   1.1090310e+00   1.7570119e+00
   9.7134603e+01   1.3381050e+00   1.7211598e+00
   9.6960269e+01   1.3101110e+00   2.4669365e+00
   9.6595450e+01   1.0023720e+00   3.0770066e+00
   9.6746009e+01   7.7605000e-01   2.5131271e+00
   9.6826369e+01   2.1707440e+00   5.5535569e-01
   9.6643809e+01   2.0169280e+00   1.1491885e+00
   9.6777842e+01   1.1562640e+00   3.0926564e+00
   9.6790127e+01   1.4067240e+00   2.3573197e+00
   9.5910408e+01   2.5065350e+00   6.9109089e-01
   9.5660989e+01   2.0495770e+00   1.1539094e+00
   9.5909786e+01   1.8901580e+00   1.9089928e+00
   9.6231878e+01   2.0385250e+00   2.1060072e+00
   9.6414394e+01   2.1924520e+00   1.4156620e+00
   9.6573741e+01   2.8194180e+00   3.9580591e-01
   9.6872805e+01   2.3325540e+00   4.7338121e-01
   9.6907836e+01   1.9938130e+00   5.1776394e-01
   9.7191649e+01   2.4781640e+00   5.7569842e-01
   9.7507795e+01   1.7712860e+00   3.7450967e-01
   9.6354345e+01   2.5116360e+00   5.2340323e-01
   9.6596960e+01   2.3463250e+00   6.8884845e-01
   9.6779579e+01   2.5001340e+00   4.8554234e-01
   9.6690208e+01   2.1787630e+00   7.7252019e-01
   9.7055457e+01   2.4862730e+00   5.1835283e-01
   9.6939245e+01   3.1269130e+00   6.3502700e-01
