#patchMidLon patchMidLat patchMidDepth patchLength patchWidth rake strike dip slip(cm)
99.257154 -2.978392 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 163.192847
99.197415 -2.900379 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 46.611732
99.137684 -2.822364 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 3.870593
99.077961 -2.744346 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
99.018246 -2.666325 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.958537 -2.588301 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.898836 -2.510275 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.839140 -2.432248 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.779451 -2.354219 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.719768 -2.276188 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.660091 -2.198156 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
100.132913 -4.040347 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.073024 -3.962410 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 53.516987
100.013148 -3.884467 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 163.905112
99.953285 -3.806516 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 352.427013
99.893434 -3.728559 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 587.785258
99.833594 -3.650596 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 764.510750
99.773766 -3.572627 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 868.632558
99.713949 -3.494653 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 919.218115
99.654142 -3.416673 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 935.416121
99.594347 -3.338688 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 922.765394
99.534561 -3.260698 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 870.780226
99.474785 -3.182704 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 757.944186
99.415018 -3.104705 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 566.694253
99.355261 -3.026702 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 316.627645
99.295513 -2.948695 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 123.279403
99.235772 -2.870685 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 24.086585
99.176041 -2.792672 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.116316 -2.714655 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.056600 -2.636636 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.996890 -2.558614 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.937187 -2.480590 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.877491 -2.402564 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.817801 -2.324537 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.758117 -2.246507 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
