#1:Lon   2:Lat   3:Center(km)    4:Slip(cm)    5:Stri-Slip(cm)    6:Dip-slip(cm)    7:StriSlipErr(cm)   8:DipSlipErr(cm)
94.940713 2.173204 5.867865 0.000073 -0.000062 0.000039 0.000000 0.000000
94.763499 2.615832 9.232652 13.461729 0.029340 13.461697 0.000000 0.000000
94.305805 2.929446 8.609865 0.000162 -0.000128 0.000099 0.000000 0.000000
95.193625 2.624771 12.145943 6.893391 -1.716907 -6.676157 0.000000 0.000000
94.621597 2.614100 8.362056 10.250130 0.042209 10.250043 0.000000 0.000000
94.523828 2.766463 8.926604 11.298558 -0.208844 11.296627 0.000000 0.000000
94.181902 2.938501 7.960510 0.000126 -0.000108 0.000064 0.000000 0.000000
94.385587 2.766233 8.108237 5.133089 -0.052304 5.132822 0.000000 0.000000
94.670631 3.238261 12.726781 0.000246 -0.000214 0.000120 0.000000 0.000000
94.803991 2.768402 10.819740 16.195325 -0.550727 16.185959 0.000000 0.000000
94.706228 2.920807 11.218075 15.387768 -2.362439 15.205337 0.000000 0.000000
95.376103 2.778965 15.779619 39.297993 -9.263484 -38.190576 0.000000 0.000000
94.945913 2.770110 11.907474 11.381138 -0.120341 11.380502 0.000000 0.000000
95.558632 2.933129 20.710204 68.469751 -14.095164 -67.003232 0.000000 0.000000
94.853124 3.392651 16.018009 0.000343 -0.000300 0.000165 0.000000 0.000000
95.310893 3.078612 20.012488 31.904777 -2.945175 -31.768549 0.000000 0.000000
94.750393 3.074962 12.618538 10.953446 -1.564317 10.841167 0.000000 0.000000
95.168926 3.076967 17.868081 10.850156 -0.772354 -10.822631 0.000000 0.000000
95.414476 2.929591 18.826651 52.223901 -12.502644 -50.705224 0.000000 0.000000
95.779660 3.237875 32.339935 59.193114 -10.201582 -58.307396 0.000000 0.000000
93.999580 2.784076 5.782060 0.000118 -0.000098 0.000066 0.000000 0.000000
94.567966 2.920600 10.195534 11.170142 -0.758016 11.144392 0.000000 0.000000
94.888677 3.075141 14.117283 10.699137 -2.722550 10.346944 0.000000 0.000000
95.071180 3.229455 18.192172 1.801856 -1.457673 1.059185 0.000000 0.000000
94.729164 3.401785 14.267992 0.000270 -0.000243 0.000119 0.000000 0.000000
94.932873 3.229308 15.975543 6.643187 -1.551171 6.459551 0.000000 0.000000
95.619051 3.692186 39.941593 58.665879 -1.704745 -58.641105 0.000000 0.000000
94.546691 3.247365 11.591377 0.000188 -0.000173 0.000072 0.000000 0.000000
94.911696 3.556184 18.407947 0.000419 -0.000364 0.000207 0.000000 0.000000
95.218291 3.701346 28.125835 0.000594 -0.000548 0.000229 0.000000 0.000000
95.846204 4.000489 54.098400 0.000307 -0.000033 -0.000305 0.000000 0.000000
95.459680 4.019162 41.951975 0.000566 -0.000559 0.000089 0.000000 0.000000
95.094290 3.710553 24.662140 0.000622 -0.000550 0.000291 0.000000 0.000000
95.597038 3.083755 24.737834 50.538139 -10.794124 -49.371959 0.000000 0.000000
95.400974 3.855633 36.691517 0.000567 -0.000565 0.000045 0.000000 0.000000
95.436363 3.537987 31.349603 34.091840 -2.130543 -34.025202 0.000000 0.000000
95.035676 3.547016 21.016423 0.000484 -0.000426 0.000231 0.000000 0.000000
95.115410 3.383631 20.843114 1.953640 -1.644281 -1.055012 0.000000 0.000000
95.298008 3.537920 27.539185 14.227266 -2.106497 -14.070457 0.000000 0.000000
95.351476 3.231210 23.395646 29.858372 -1.159320 -29.835857 0.000000 0.000000
95.534085 3.385414 30.554392 52.835386 -1.136612 -52.823159 0.000000 0.000000
95.801809 3.846327 48.969944 47.631008 -0.526791 -47.628095 0.000000 0.000000
95.716758 3.539570 39.011249 85.968357 -1.018842 -85.962320 0.000000 0.000000
95.858799 3.541084 42.921015 102.378600 -3.182601 -102.329120 0.000000 0.000000
95.962343 3.391942 41.259913 102.982970 -13.568669 -102.085176 0.000000 0.000000
96.289351 3.549290 55.268969 67.238299 -3.466392 -67.148886 0.000000 0.000000
95.642484 4.173384 51.553239 0.000108 -0.000104 -0.000029 0.000000 0.000000
95.663401 3.846358 44.692698 40.154822 -1.231171 -40.135944 0.000000 0.000000
95.766554 4.164036 55.580773 0.000051 -0.000016 -0.000049 0.000000 0.000000
96.082311 3.847700 57.911029 0.000449 -0.000034 -0.000447 0.000000 0.000000
96.224406 3.849101 62.556977 0.000123 -0.000066 -0.000104 0.000000 0.000000
96.041566 3.695129 52.401650 68.743049 -1.416297 -68.728458 0.000000 0.000000
96.472201 3.703160 65.401755 0.000158 -0.000088 -0.000131 0.000000 0.000000
97.006664 3.429618 70.133036 0.000430 -0.000330 -0.000275 0.000000 0.000000
96.823790 3.275966 59.951503 48.548298 -6.575840 -48.100889 0.000000 0.000000
96.401181 3.405856 53.528002 75.592744 -10.144685 -74.908934 0.000000 0.000000
96.584014 3.559684 63.581041 0.000569 -0.000190 -0.000536 0.000000 0.000000
96.640988 3.122223 49.719207 10.693993 -2.097244 -10.486327 0.000000 0.000000
96.854302 3.424846 65.790743 0.000734 -0.000320 -0.000661 0.000000 0.000000
96.671457 3.271127 55.831320 53.543009 -7.084979 -53.072186 0.000000 0.000000
96.902386 2.973059 51.665805 6.721387 -2.357026 6.294559 0.000000 0.000000
97.144993 2.807525 52.864800 24.947785 -3.002694 -24.766425 0.000000 0.000000
96.756461 2.973206 47.545989 69.790435 -1.571010 69.772751 0.000000 0.000000
97.327795 2.961087 63.655567 83.704585 -3.510800 -83.630927 0.000000 0.000000
95.676100 3.386976 34.056502 71.109469 -2.507142 -71.065258 0.000000 0.000000
95.493466 3.232816 26.237439 45.530362 -2.693343 -45.450630 0.000000 0.000000
96.123321 2.809494 26.217560 204.311685 8.748126 204.124312 0.000000 0.000000
96.368770 3.259118 47.346535 64.070581 -8.790022 -63.464753 0.000000 0.000000
96.275579 2.814503 29.581002 310.999144 2.749359 310.986991 0.000000 0.000000
